id,length,name,sample_rate,record_datetime,sound_type,species,gender,fed,plurality,age,method,mic_type,device_type,country,district,province,place,location_type
220316,2.5,IFA_40_13_1573.wav,44100,13-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
220301,5.12,IFA_40_22_1582.wav,44100,13-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
220447,2.56,IFA_44_40_1760.wav,44100,24-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
220429,5.12,IFA_42_30_1670.wav,44100,21-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
220296,20.48,IFA_40_23_1583.wav,44100,13-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
220317,23.04,IFA_40_19_1579.wav,44100,13-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
220462,7.68,IFA_45_14_1774.wav,44100,24-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
57,170.249,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
220400,28.16,IFA_42_22_1662.wav,44100,21-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
220444,5.12,IFA_44_40_1760.wav,44100,24-03-20 0:00,mosquito,ae aegypti,Female,f,Single,,LC,telinga,tascam,Tanzania,Kilombero District,Morogoro,Ifakara,cup
137,458.522,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
88,165.577,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
147,821.518,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
87,2.031.505,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
153,356.628,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
110,815.149,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
119,585.889,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
105,643.204,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
136,477.626,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
92,226.077,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 8:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
220,444.389,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 8:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
209,449.116,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 8:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
170,156.009,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 8:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
185,156.009,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 8:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
173,312.018,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 8:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
